Role,Stream,Bachelor's Degrees,Master's Degrees,Certifications,Competitions,Courses
Software Engineer,Science (PCM),B.Tech in Computer Science,M.Tech in Computer Science,"AWS Certified Developer, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Smart India Hackathon, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Software Engineer,Science (PCM),B.E. in Information Technology,MS in Software Engineering,"Full Stack Developer (MEAN/MERN), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","ACM-ICPC, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Software Engineer,Science (PCM),BCA,MCA,"Oracle Java Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Google Code Jam, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Software Engineer,Science (PCM),B.Tech in Computer Science,M.Tech in Computer Science,"AWS Certified Developer, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","TCS CodeVita, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Data Scientist,Science (PCM),B.Tech in Computer Science,M.Tech in Artificial Intelligence,"IBM Data Science Professional, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Analytics Vidhya Hackathons, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Data Scientist,Science (PCM),B.Sc Statistics/Mathematics,M.Sc Data Science,"Python for Data Science (NPTEL), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","MachineHack challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Data Scientist,Science (PCM),B.Tech in Computer Science,M.Tech in Artificial Intelligence,"Microsoft Azure Data Scientist, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Kaggle competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in Machine Design,"AutoCAD Certified Professional, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","SAE BAJA, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in CAD/CAM,"SolidWorks Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","SUPRA SAE, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in Machine Design,"ANSYS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Level Technical Paper Presentations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Structural Engineering,"AutoCAD Civil 3D, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Design Competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Construction Management,"Project Management Professional (PMP), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Bentley's Future Infrastructure Challenge, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Structural Engineering,"LEED Green Associate, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Design Competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),MD/MS (through NEET-PG),"BLS/ACLS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Medical Quiz competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),DNB,"Specialized medical courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Research paper presentations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),MD/MS (through NEET-PG),"BLS/ACLS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Clinical case competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Biotechnologist,Science (PCB),B.Tech/B.Sc in Biotechnology,M.Tech/M.Sc in Biotechnology,"Bioinformatics courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Bio-Plan competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Biotechnologist,Science (PCB),B.Sc in Microbiology,M.Sc in Molecular Biology,"GLP (Good Laboratory Practice), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Innovation challenges in Biotechnology, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Biotechnologist,Science (PCB),B.Tech/B.Sc in Biotechnology,M.Tech/M.Sc in Biotechnology,"Cell Culture techniques, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","DST-sponsored contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Chartered Accountant,Commerce,B.Com,CA Foundation,"GST Professional Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","CA Students' Debate, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Chartered Accountant,Commerce,B.Com (Hons),CA Intermediate,"Financial Modeling certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","ICAI Quiz competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Chartered Accountant,Commerce,B.Com,CA Final,"GST Professional Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Case study challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Investment Banker,Commerce,B.Com,MBA Finance,"NISM Series (Securities Market), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Stock Market simulations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Investment Banker,Commerce,BBA (Finance),CFA (Chartered Financial Analyst),"Financial Risk Manager (FRM), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Bloomberg Terminal competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Investment Banker,Commerce,B.Com,MBA Finance,"NISM Series (Securities Market), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Investment analysis contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Company Secretary,Commerce,B.Com,CS Foundation,"Corporate Governance certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","ICSI Elocution, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Company Secretary,Commerce,BBA,CS Executive,"Compliance Management courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Moot court competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Company Secretary,Commerce,LLB,CS Professional,"Corporate Governance certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Corporate law quiz, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Civil Services Officer,Arts,BA in Political Science,MA in relevant subjects,"UPSC test series certifications, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Mock UPSC tests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Civil Services Officer,Arts,BA in Economics,Public Administration,"Foreign language diplomas, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Essay competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Civil Services Officer,Arts,BA in History,MA in relevant subjects,"UPSC test series certifications, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Youth Parliament, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Civil Services Officer,Arts,BA in Sociology,Public Administration,"Foreign language diplomas, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Mock UPSC tests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Clinical Psychologist,Arts,BA Psychology,M.A/M.Sc in Clinical Psychology,"RCI (Rehabilitation Council of India) certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Research paper presentations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Clinical Psychologist,Arts,BA Psychology,M.Phil in Clinical Psychology,"Specialized therapy certifications, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Psychometric tool development contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Journalist,Arts,BA in Journalism & Mass Communication,MA in Journalism,"Digital Journalism certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Press Club competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Journalist,Arts,BA in English,PG Diploma in Journalism,"Content creation courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Feature writing contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Journalist,Arts,BA in Journalism & Mass Communication,MA in Journalism,"Digital Journalism certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Documentary film festivals, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Digital Marketing Specialist,Multi-stream,Any stream + BBA,MBA Marketing,"Google Digital Marketing Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Digital Marketing Hackathons, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Digital Marketing Specialist,Multi-stream,Any stream + B.Com,PGDM in Digital Marketing,"Meta Blueprint, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Social Media campaign contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Digital Marketing Specialist,Multi-stream,Any stream + BA Mass Communication,MBA Marketing,"HubSpot Inbound Marketing, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Digital Marketing Hackathons, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
UX/UI Designer,Multi-stream,B.Des,M.Des in Interaction Design,"Google UX Design Certificate, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Design-a-thon, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
UX/UI Designer,Multi-stream,B.Tech,PG Diploma in UX Design,"Adobe Certified Expert, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Adobe Design achievements, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
UX/UI Designer,Multi-stream,Any creative degree,M.Des in Interaction Design,"Google UX Design Certificate, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Behance portfolio competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Pharma Scientist,Science (PCB),B.Pharm,M.Pharm,"Quality Control certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Pharmacy research competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Pharma Scientist,Science (PCB),B.Pharm,PhD in Pharmaceutical Sciences,"Pharmacovigilance certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Drug discovery challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
AI Engineer,Science (PCM),B.Tech in Computer Science/AI,M.Tech in AI/ML,"TensorFlow Developer Certificate, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","NITI Aayog AI challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
AI Engineer,Science (PCM),B.Tech in Computer Science/AI,MS in Robotics,"NVIDIA Deep Learning certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Intel AI competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Financial Analyst,Commerce,B.Com,MBA Finance,"Certified Financial Analyst, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Financial modeling competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Financial Analyst,Commerce,BBA Finance,M.Com,"Excel Expert certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Trading simulations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
HR Manager,Multi-stream,BBA HR,MBA HR,"SHRM certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","HR case competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
HR Manager,Multi-stream,BA Psychology,MA in Organizational Psychology,"Talent Acquisition Specialist, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Organizational design challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
HR Manager,Multi-stream,B.Com,MBA HR,"SHRM certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","HR case competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Graphic Designer,Arts,B.Des,M.Des,"Adobe Certified Expert, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Design competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Graphic Designer,Arts,BFA in Applied Arts,MFA in Design,"UI/UX certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Logo design contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Graphic Designer,Arts,B.Des,M.Des,"Adobe Certified Expert, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Portfolio showcases, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Renewable Energy Engineer,Science (PCM),B.Tech in Electrical Engineering,M.Tech in Renewable Energy,"Solar PV installation certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Solar Decathlon, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Renewable Energy Engineer,Science (PCM),B.Tech in Mechanical Engineering,M.Tech Energy Systems,"Energy Auditor certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Renewable energy hackathons, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"